,app,review,rating,tokenized_review,replaced_review
2548,7분 운동,오 짱쩡입니당?!제가 지식 인에서 이걸 써보래서 써봤는데 짱짱이네요 ㅎㅎ,5,지식,지식
2549,7분 운동,최고최고최고!!!!!!!,5,최고 최고 최고,최고 최고 최고
2550,7분 운동,저는 이거 그냥 그저 그렇다고 생각해요 다른 앱이랑 비슷하네요ㅎ,3,,
2551,7분 운동,너무좋아요... 근데 진짜 힘들닼ㅋㅋㄱ 운동을 평생안하다 해서 그런지ㅠㅠ 암튼이거하고 복근 만들겁니당!! 후훗ㅋㅋ,5,운동 복근,운동 복근
2552,7분 운동,"완벽.....완벽 그 자체입니다. 쉽고, 간단하고, 시간도 얼마 걸리지 않아서 질리지 않고 계속 할 수 있어요.짱입니다.♥♥",5,완벽 완벽,완벽 완벽
2553,7분 운동,괜찬하요!!!!!정말 도움이 되네요!,5,도움,도움
2554,7분 운동,완전 짱조음,5,조음,조음
2555,7분 운동,굳굳,5,,
2556,7분 운동,운동어플중 최고에요! 딱 필요한것만 많지도 적지도않은 프로그램으로 되어있고 운동 당 시간도 정해져있어서 개인 트레이너랑 운동하는느낌이에요. 힘들긴 하지만 힘든 만큼 운동 효과가 커요. 감사합니다! 팔운동(상체운동)프로그램도 있으면 좋을것같아요. 그리고 가끔 운동 후에 입력하고나서 다음을 눌러도 넘어가지 않을때가 있긴 하더라구요. 인터넷 문제인지...,5,운동 최고 필요 프로그램 운동 개인 트레이너 운동 운동 감사 운동 상체 운동 프로그램 운동 입력 인터넷 문제,운동 최고 필요 프로그램 운동 개인 트레이너 운동 운동 감사 운동 상체 운동 프로그램 운동 입력 인터넷 문제
2557,7분 운동,좋아요 어깨운동도 있으면 굿,5,어깨 운동,어깨 운동
2558,7분 운동,너무 좋아요 그런데  너무 힘드네요 (30일 도전 빼고),5,도전,도전
2559,7분 운동,저가7살인데너무효가적이에요,5,효가,효가
2560,7분 운동,많이 도움이 됩니다.,5,도움,도움
2561,7분 운동,당장 시작하세요. 따라하기도 쉽고유용합니다,5,시작 유용,시작 유용
2562,7분 운동,간단하게 핤 있다.,5,,
2563,7분 운동,최고에여 운동할 시간되면 운동하라고 알려주고 운동할 시간과 방법을 몰랐는데 그냥 따라하기만 하면 되서 넘 좋네요^-^,5,최고 운동 운동 운동 방법,최고 운동 운동 운동 방법
2564,7분 운동,간단한 운동하기에도 좋은 듯 해요ㅎㅎ이걸로 열심히 운동해서 살 빼야징!!!,5,운동 운동,운동 운동
2565,7분 운동,운동도 되고 기분도 좋고 짱짱짱!!,5,운동 기분,운동 기분
2566,7분 운동,정말 좋습니다,5,,
2567,7분 운동,운동이잘되서좋아요,5,운동,운동
2568,7분 운동,간단히 운동하기 최고에요,5,운동 최고,운동 최고
2569,7분 운동,시간도 길지않아 부담도 없어 꾸준히할수있게되요! 강추강추!,5,부담 강추 강추,부담 강추 강추
2570,7분 운동,좋아요. 매우,5,,
2571,7분 운동,더이상의 자세한 설명은 생략한다,5,설명 생략,설명 생략
2572,7분 운동,여기있는 운동 다 근력운동맞죠?,5,운동 근력 운동,운동 근력 운동
2573,7분 운동,플랭크죽이고싶다,5,플랭크,플랭크
2574,7분 운동,좋아요,5,,
2575,7분 운동,좋다,5,,
